GISJOIN,FIPS,STATE,STATEFP_clean,COUNTY,COUNTY_CLEAN,COUNTYFP_clean,YEAR,POPULATION,AC_ERA,POP_1950,PCT_CHANGE_FROM_1950,REP_STATION,ANN_AVG_TEMP_F,SUMMER_AVG_MAX_F,SUMMER_RH_PCT,COOLING_DEGREE_DAYS,CLIMATE_ZONE
G3701030,37103,North Carolina,37,Jones County,Jones,103,1790,4796,Pre-AC,11004.0,-56.42,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701090,37109,North Carolina,37,Lincoln County,Lincoln,109,1790,9246,Pre-AC,27459.0,-66.33,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701170,37117,North Carolina,37,Martin County,Martin,117,1790,6010,Pre-AC,27938.0,-78.49,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701190,37119,North Carolina,37,Mecklenburg County,Mecklenburg,119,1790,11360,Pre-AC,197052.0,-94.24,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701230,37123,North Carolina,37,Montgomery County,Montgomery,123,1790,5039,Pre-AC,17260.0,-70.81,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701250,37125,North Carolina,37,Moore County,Moore,125,1790,3870,Pre-AC,33129.0,-88.32,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701270,37127,North Carolina,37,Nash County,Nash,127,1790,7390,Pre-AC,59919.0,-87.67,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701290,37129,North Carolina,37,New Hanover County,New Hanover,129,1790,6837,Pre-AC,63272.0,-89.19,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701310,37131,North Carolina,37,Northampton County,Northampton,131,1790,9992,Pre-AC,28432.0,-64.86,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701330,37133,North Carolina,37,Onslow County,Onslow,133,1790,5427,Pre-AC,42047.0,-87.09,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701350,37135,North Carolina,37,Orange County,Orange,135,1790,12216,Pre-AC,34435.0,-64.52,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701390,37139,North Carolina,37,Pasquotank County,Pasquotank,139,1790,5477,Pre-AC,24347.0,-77.5,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701430,37143,North Carolina,37,Perquimans County,Perquimans,143,1790,5439,Pre-AC,9602.0,-43.36,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
